name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Yam;100;118;0.2;0;9;1.53;27.88;4.1;0.5;vitamin a
Jellies;100;266;0;0;30;0.15;69.95;1;51.22;vitamin a
Eggnog;100;88;4.2;59;54;4.55;8.05;0;8.05;vitamin a
Honey;100;304;0;0;4;0.3;82.4;0.2;82.12;vitamin c
Natto;100;211;11;0;7;19.4;12.68;5.4;4.89;vitamin k
Okara;100;76;1.7;0;9;3.52;12.23;0;0;vitamin b6
Papad;100;371;3.3;4;1745;25.56;59.87;18.6;0;vitamin a
Lard;100;902;100;95;0;0;0;0;0;vitamin d
Oats;100;389;6.9;0;2;16.89;66.27;10.6;0;vitamin b6
Miso;100;198;6;0;3728;12.79;25.37;5.4;6.2;vitamin a
Poi;100;112;0.1;0;12;0.38;27.23;0.4;0.39;vitamin a
Winged bean leaves;100;74;1.1;0;9;5.85;14.1;0;0;vitamin a
Wheat flour;100;340;2.5;0;2;13.21;71.97;10.7;0.41;vitamin a
CRACKER BARREL;100;175;13;11;110;0.89;13.01;1.6;11.07;vitamin a
Noodles;100;475;15;0;1174;8.11;72.8;3.7;5.71;vitamin e
Triticale flour;100;338;1.8;0;2;13.18;73.14;14.6;0;vitamin e
Smelt;100;386;18;249;420;56.19;0;0;0;vitamin a
Poultry salad sandwich spread;100;200;14;30;653;11.64;7.41;0;0;vitamin a
Yogurt;100;95;0.2;2;58;4.4;19;0;19;vitamin a
HOUSE FOODS Premium Firm Tofu;100;85;4.2;0;33;10.92;0.97;0.9;0.4;vitamin c
Dove;100;213;13;116;57;23.9;0;0;0;vitamin a
Beverages;100;48;0;0;12;0;12.3;0;0;vitamin a
Kefir;100;41;0.9;5;40;3.79;4.48;0;4.61;vitamin a
Cheese substitute;100;248;12;0;685;11.47;23.67;0;23.67;vitamin a
Crustaceans;100;90;1.2;55;539;18.5;0;0;0;vitamin a
SILK Light Chocolate;100;49;0.6;0;41;2.06;9.05;0.8;7.82;vitamin a
KELLOGG'S;100;367;0.4;0;638;7.5;84.4;1.2;9.3;vitamin a
Turkey Pot Pie;100;176;8.8;16;350;6.5;17.7;1.1;0;vitamin a
Peanut butter;100;590;50;0;203;24;21.83;6.6;9.29;vitamin e
Turkey;100;112;1.9;67;118;22.64;0.14;0;0.07;vitamin a
Popovers;100;371;4.3;0;906;10.4;71;0;0;vitamin c
Lemon grass (citronella);100;99;0.5;0;6;1.82;25.31;0;0;vitamin a
GIRL SCOUTS;100;498;23;1;343;5.7;68;1.6;20.7;vitamin a
Pulled pork in barbecue sauce;100;168;4.4;35;666;13.19;18.74;1.2;15.2;vitamin a
Bison;100;146;7.2;55;70;20.23;0.05;0;0;vitamin b12
Pineapple;100;50;0.1;0;1;0.54;13.12;1.4;9.85;vitamin a
Cereals ready-to-eat;100;388;6.3;0;8;9.5;73.8;8.5;23.2;vitamin a
Leavening agents;100;0;0;0;27360;0;0;0;0;vitamin a
English muffins;100;203;2.1;0;364;8.8;40.4;6.7;8.09;vitamin a
Apples;100;57;0.1;0;1;0.25;13.68;2.3;10.37;vitamin a
Peanut spread;100;650;55;0;292;24.8;14.23;7.8;6.35;vitamin e
Beerwurst;100;238;19;59;1240;14.24;2.06;0;0;vitamin d
Tree fern;100;40;0.1;0;241;0.29;10.78;3.7;0;vitamin a
Pheasant;100;181;9.3;71;40;22.7;0;0;0;vitamin a
Squash;100;40;0.5;0;7;2;8.7;3.9;3.95;vitamin a
Rambutan;100;82;0.2;0;11;0.65;20.87;0.9;0;vitamin c
PEPPERIDGE FARM;100;280;5.1;1;511;0.01;50.2;1.6;5.1;vitamin a
Orange Pineapple Juice Blend;100;51;0.1;0;4;0.41;12.2;0.2;10.57;vitamin c
ON THE BORDER;100;144;5;6;378;7.3;17.52;8.2;0.84;vitamin k
Cornmeal;100;362;3.6;0;35;8.12;76.89;7.3;0.64;vitamin a
Kanpyo;100;258;0.6;0;15;8.58;65.03;9.8;0;vitamin b6
Pancakes;100;269;1.9;24;429;5.71;57.32;1;8.57;vitamin a
Tennis Bread;100;258;1.1;0;810;9;53.26;2.6;3.01;vitamin k
Cockles;100;79;0.7;0;0;13.5;4.7;0;0;vitamin a
Lettuce;100;17;0.3;0;8;1.23;3.29;2.1;1.19;vitamin a
Dessert topping;100;264;22;0;62;0.98;16.07;0;16.07;vitamin a
Pinon Nuts;100;541;34;0;310;7.41;51.06;43.4;0;vitamin e
Mothbeans;100;343;1.6;0;30;22.94;61.52;0;0;vitamin a
Cranberry juice;100;46;0.1;0;2;0.39;12.2;0.1;12.1;vitamin a
Cake;100;404;5.5;0;604;4.7;84.1;1.3;0;vitamin a
Buckwheat flour;100;335;3.1;0;11;12.62;70.59;10;2.6;vitamin k
Sweet potato;100;101;0.2;0;75;1.98;23.19;1.7;5.45;vitamin a
Rice;100;367;3.2;0;5;7.54;76.25;3.6;0.66;vitamin e
Alfalfa seeds;100;23;0.7;0;6;3.99;2.1;1.9;0.2;vitamin a
SMART SOUP;100;40;0.5;0;138;1.7;8.4;2.7;2.7;vitamin a
Milk shakes;100;119;2.7;11;111;3.05;21.15;0.3;20.85;vitamin a
Grapefruit juice;100;39;0.1;0;1;0.5;9.2;0.1;9.1;vitamin c
HEALTHY REQUEST Tomato juice;100;21;0;0;198;0.82;4.53;0.8;3.7;vitamin a
Puddings;100;108;2.2;12;97;3.23;18.39;0.3;11.59;vitamin a
Pie fillings;100;115;0.1;0;18;0.37;28;0.6;0;vitamin a
SILK Black Cherry soy yogurt;100;88;1.2;0;12;2.35;17.06;0.6;11.76;vitamin c
Chrysanthemum;100;24;0.6;0;118;3.36;3.02;3;0;vitamin a
Stew;100;55;0.5;0;222;6.6;6;0.5;0;vitamin a
Radish seeds;100;43;2.5;0;6;3.81;3.6;0;0;vitamin a
MORI-NU;100;62;2.7;0;36;6.9;2.4;0.1;1.27;vitamin b6
Corn pudding;100;131;5;72;282;4.42;16.97;1.2;6.59;vitamin a
Beef sausage;100;332;28;82;813;18.21;0.35;0;0;vitamin a
Luncheon meat;100;334;30;62;1289;12.5;2.1;0;0;vitamin d
Vinespinach;100;19;0.3;0;24;1.8;3.4;0;0;vitamin a
OSCAR MAYER;100;316;29;64;1179;11.05;2.45;0;1.4;vitamin d
CHICK-FIL-A;100;228;11;56;577;21.4;10.39;0.9;1.24;vitamin e
Edamame;100;109;4.7;0;6;11.22;7.61;4.8;2.48;vitamin k
Cereals;100;370;0.5;0;6;6.3;82.4;0.7;0.3;vitamin b6
LEAN POCKETS;100;230;6.5;20;423;10.28;32.52;1.7;7.6;vitamin d
SILK French Vanilla Creamer;100;133;6.7;0;67;0;20;0;20;vitamin a
HORMEL Canadian Style Bacon;100;122;4.9;49;1016;16.88;1.87;0;1.43;vitamin c
Brotwurst;100;323;28;63;1112;14.3;2.98;0;2.98;vitamin d
Pork;100;297;21;94;73;25.69;0;0;0;vitamin d
Ham and cheese loaf or roll;100;241;19;58;1000;13.6;4;0;0;vitamin d
BURGER KING;100;292;15;44;859;18.2;20.49;1.3;0;vitamin a
Light ice cream;100;165;3.1;8;46;1.54;32.75;0;18.46;vitamin a
Sandwich spread;100;235;17;38;1013;7.66;11.94;0.2;0;vitamin a
Potato salad;100;143;8.2;68;529;2.68;11.17;1.3;0;vitamin a
Corn dogs;100;250;12;44;668;8.57;26.96;1;7.54;vitamin a
Persimmons;100;274;0.6;0;2;1.38;73.43;14.5;0;vitamin a
Carambola;100;31;0.3;0;2;1.04;6.73;2.8;3.98;vitamin a
Beans;100;155;5.2;5;422;5.54;21.63;5.5;0;vitamin c
SILK Light Vanilla;100;33;0.8;0;39;2.47;4.12;0.4;2.88;vitamin a
Spaghetti;100;130;0.6;0;14;4.58;26.15;0;0;vitamin a
Bockwurst;100;301;26;93;756;14.03;2.95;1;1.33;vitamin a
Guinea hen;100;110;2.5;63;69;20.64;0;0;0;vitamin a
Turkey sausage;100;155;8.1;75;593;18.79;0.47;0;0;vitamin a
Pomegranate juice;100;54;0.3;0;9;0.15;13.13;0.1;12.65;vitamin k
Nance;100;73;1.2;0;3;0.66;16.97;7.5;8.31;vitamin c
Vegetable oil;100;862;100;0;0;0;0;0;0;vitamin k
Canadian bacon;100;110;2.6;48;751;20.31;1.34;0;0.9;vitamin d
SILK Very Vanilla;100;53;1.7;0;58;2.47;7.82;0.4;6.58;vitamin a
Bratwurst;100;176;10;71;72;19.44;0;0;0;vitamin a
Sorghum flour;100;359;3.3;0;3;8.43;76.64;6.6;1.94;vitamin k
MOTHER'S;100;552;34;3;284;6.1;55.7;4.1;25.4;vitamin b6
Java-plum;100;60;0.2;0;14;0.72;15.56;0;0;vitamin c
Dip;100;119;3.7;0;443;5.44;15.89;4.9;0.99;vitamin k
SWANSON;100;71;4;7;460;4.7;4.03;0.7;0.67;vitamin a
Cream substitute;100;529;33;0;124;2.48;59.29;0;7.77;vitamin k
Carissa;100;62;1.3;0;3;0.5;13.63;0;0;vitamin a
Mayonnaise;100;322;32;0;773;5.95;3.06;1.1;0.85;vitamin k
SILK Strawberry soy yogurt;100;94;1.2;0;15;2.35;18.24;0.6;12.94;vitamin c
Ice cream cookie sandwich;100;240;7.4;6;162;3.7;39.6;1.2;21.3;vitamin a
Chrysanthemum leaves;100;24;0.6;0;118;3.36;3.01;3;0;vitamin a
Barbecue loaf;100;173;8.9;37;1334;15.84;6.4;0;0;vitamin a
Corned beef loaf;100;153;6.1;47;953;22.9;0;0;0;vitamin b12
Mustard;100;60;3.3;0;1104;3.74;5.83;4;0.92;vitamin a
Lemons;100;29;0.3;0;2;1.1;9.32;2.8;2.5;vitamin c
Mammy-apple;100;51;0.5;0;15;0.5;12.5;3;0;vitamin a
Luncheon slices;100;189;11;0;711;17.78;4.44;1.1;2.22;vitamin b12
Vermicelli;100;331;0.1;0;4;0.1;82.32;3.9;17.44;vitamin a
Frozen yogurts;100;127;3.6;13;63;3;21.6;2.3;19.24;vitamin a
Mountain yam;100;67;0.1;0;13;1.34;16.3;2.5;0.31;vitamin c
Campbell's Pork and Beans;100;108;1.2;4;338;4.62;19.23;5.4;6.15;vitamin a
SILK Unsweetened;100;33;1.7;0;35;2.88;1.65;0.4;0.41;vitamin a
Lupins;100;371;9.7;0;15;36.17;40.37;18.9;0;vitamin c
Avocados;100;167;15;0;8;1.96;8.64;6.8;0.3;vitamin a
Peppered loaf;100;149;6.4;46;732;17.3;4.53;0;4.61;vitamin d
Gelatin desserts;100;381;0;0;466;7.8;90.5;0;86.04;vitamin b6
Smoked link sausage;100;309;28;61;827;11.98;0.94;0;0.94;vitamin d
Shake;100;148;6.5;23;81;3.37;19.59;0.9;13.63;vitamin a
Jerusalem-artichokes;100;73;0;0;4;2;17.44;1.6;9.6;vitamin a
Side dishes;100;114;6;60;328;1.53;13.53;0;0;vitamin a
Rice and Wheat cereal bar;100;409;9.1;0;500;9.09;72.73;1.8;31.8;vitamin e
SILK Light Plain;100;29;0.8;0;49;2.47;3.29;0.4;2.47;vitamin a
SILK Raspberry soy yogurt;100;88;1.2;0;15;2.35;17.65;0.6;12.94;vitamin c
SILK Blueberry soy yogurt;100;88;1.2;0;15;2.35;17.06;0.6;12.35;vitamin c
Sweet potato leaves;100;42;0.5;0;6;2.49;8.82;5.3;0;vitamin a
Turkey bacon;100;368;26;153;2021;29.5;4.24;0;4.24;vitamin a
Salad dressing;100;390;33;26;710;0.9;23.8;0.1;20.11;vitamin k
Beef stew;100;99;5.5;13;388;4.41;7.85;0.9;1.76;vitamin a
Honey roll sausage;100;182;11;50;1322;18.58;2.18;0;0;vitamin d
Fungi;100;284;0.7;0;35;9.25;73.01;70.1;0;vitamin b6
New Zealand spinach;100;14;0.2;0;130;1.5;2.5;1.5;0.29;vitamin a
SILK Plus Fiber;100;41;1.4;0;39;2.47;5.76;2.1;2.88;vitamin a
Animal fat;100;897;100;95;150;0;0;0;0;vitamin d
Chili with beans;100;103;3.8;17;423;6.12;13.24;3.3;1.65;vitamin a
CAMPBELL'S;100;21;0;0;280;0.82;4.12;0.8;2.88;vitamin a
Guanabana nectar;100;59;0.2;0;8;0.11;14.93;0.1;13.07;vitamin c
Jellyfish;100;36;1.4;5;9690;5.5;0;0;0;vitamin a
Amaranth grain;100;371;7;0;4;13.56;65.25;6.7;1.69;vitamin c
Jew's ear;100;25;0;0;9;0.48;6.75;0;0;vitamin c
Turkey and gravy;100;67;2.6;18;554;5.88;4.61;0;0;vitamin a
Cowpeas;100;29;0.3;0;7;4.1;4.82;0;0;vitamin a
Blackberry juice;100;38;0.6;0;1;0.3;7.8;0.1;7.7;vitamin a
SILK Key Lime soy yogurt;100;88;1.2;0;15;2.35;17.65;0.6;12.35;vitamin c
Egg Mix;100;555;35;975;576;35.6;23.97;0;2.46;vitamin a
Water;100;0;0;0;2;0;0;0;0;vitamin a
Picnic loaf;100;232;17;38;1164;14.92;4.76;0;0;vitamin d
Breakfast tart;100;372;6;0;361;3.99;76.8;1.5;4.87;vitamin a
Mango;100;319;1.2;0;162;2.45;78.58;2.4;66.27;vitamin a
Malabar spinach;100;23;0.8;0;55;2.98;2.71;2.1;0;vitamin a
Pumpkin pie mix;100;104;0.1;0;208;1.09;26.39;8.3;0;vitamin a
SCHIFF;100;422;14;2;168;16.8;56.46;2.3;36.4;vitamin b6
Pickles;100;11;0.2;0;1208;0.33;2.26;1.2;1.06;vitamin a
Octopus (Alaska Native);100;56;0.8;41;0;12.3;0;0;0;vitamin a
Tamarind nectar;100;57;0.1;0;7;0.09;14.73;0.5;12.7;vitamin c
Soy meal;100;337;2.4;0;3;49.2;35.89;0;0;vitamin a
KASHI;100;192;7.1;0;476;5.7;34.6;9;4.6;vitamin a
SILK Chocolate;100;58;1.4;0;41;2.06;9.47;0.8;7.82;vitamin a
Sweetener;100;310;0.5;0;4;0.09;76.37;0.2;68.03;vitamin a
Egg substitute;100;444;13;572;800;55.5;21.8;0;21.8;vitamin a
Chickpea flour (besan);100;387;6.7;0;64;22.39;57.82;10.8;10.85;vitamin a
Chorizo;100;455;38;88;1235;24.1;1.86;0;0;vitamin d
Falafel;100;333;18;0;294;13.31;31.84;0;0;vitamin a
Melon;100;21;0.2;0;11;0.84;4.06;0.3;3.36;vitamin c
Mortadella;100;311;25;56;1246;16.37;3.05;0;0;vitamin d
Soy sauce made from soy (tamari);100;60;0.1;0;5586;10.51;5.57;0.8;1.7;vitamin b6
Hyacinth beans;100;344;1.7;0;21;23.9;60.74;25.6;0;vitamin b6
Cloudberries;100;51;0.8;0;0;2.4;8.6;0;0;vitamin a
SPAGHETTIOS;100;67;0.4;2;238;2.38;13.89;1.2;4.76;vitamin a
Whale;100;291;23;0;0;19.6;0;0;0;vitamin a
Pasta mix;100;354;1.8;0;1537;12.32;72.2;2;4.95;vitamin c
Mayonnaise dressing;100;688;78;0;486;0;0.3;0;0.3;vitamin k
Walrus;100;251;2.6;0;0;57;0;0;0;vitamin a
Seal;100;116;3.3;0;0;18.6;2.9;0;0;vitamin a
Restaurant;100;293;14;59;482;14.33;26.88;0.7;15.98;vitamin a
ARCHWAY Home Style Cookies;100;421;14;10;394;5.48;68.17;2.9;34.5;vitamin a
Lasagna;100;145;4.2;11;312;5.06;21.61;1.7;3.8;vitamin a
Tea;100;2;0.2;0;0;0.12;0;0;0;vitamin a
SUNSHINE;100;491;23;5;809;11;61;2.5;0.5;vitamin a
Chocolate-flavored hazelnut spread;100;541;30;0;41;5.41;62.16;5.4;54.05;vitamin e
Baking chocolate;100;426;16;0;3;3.64;77.41;4;69.4;vitamin k
Corn flour;100;363;3.7;0;5;8.46;76.59;6.4;0;vitamin a
Salisbury steak with gravy;100;149;10;33;509;6.98;6.78;1;0.26;vitamin a
Grapefruit;100;37;0.1;0;0;0.88;9.09;0;0;vitamin c
Turkey breast;100;100;2.4;50;922;16.33;2.34;0;3.28;vitamin d
Acerola;100;32;0.3;0;7;0.4;7.69;1.1;0;vitamin c
Burrito;100;298;12;9;659;8.73;38.95;6.9;1.36;vitamin a
Stew/soup;100;41;0.7;0;72;3.8;4.8;0.1;0;vitamin a
Cheese sauce;100;197;15;38;493;10.33;5.48;0.1;0.19;vitamin a
Bread stuffing;100;389;4.2;0;1429;10;76.7;14.3;13.16;vitamin a
Huckleberries;100;37;0.1;0;10;0.4;8.7;0;0;vitamin a
SILK Plus for Bone Health;100;41;1.4;0;39;2.47;4.53;0.8;2.88;vitamin a
Reddi Wip Fat Free Whipped Topping;100;149;5;16;72;3;25;0.4;16;vitamin a
Boysenberries;100;88;0.1;0;3;0.99;22.31;2.6;0;vitamin a
Hush puppies;100;337;14;45;668;7.7;46;2.8;2.03;vitamin a
Doughnuts;100;412;18;11;345;3.1;59.5;1.2;35.11;vitamin a
Duck;100;135;6;77;74;18.28;0.94;0;0;vitamin a
Knackwurst;100;307;28;60;930;11.1;3.2;0;0;vitamin d
Seasoning mix;100;322;0;0;7203;4.5;58;13.3;10.83;vitamin a
Artichokes;100;47;0.2;0;94;3.27;10.51;5.4;0.99;vitamin k
Salmonberries;100;47;0.3;0;14;0.85;10.05;1.9;3.66;vitamin a
Gourd;100;20;0.2;0;3;1.2;4.35;1.1;2.02;vitamin a
Desserts;100;383;0;0;6;0;99;0;0;vitamin b6
Puff pastry;100;551;38;0;249;7.3;45.1;1.5;0.74;vitamin k
Macaroni and cheese;100;149;6.4;10;290;5.6;17.28;1.1;1.53;vitamin a
Turkey from whole;100;114;1.5;57;113;23.66;0.14;0;0.05;vitamin a
Lemonade;100;192;0.7;0;4;0.22;48.86;0.3;46.46;vitamin c
Macaroni;100;367;1;0;43;13.14;74.88;4.3;0;vitamin a
Sea cucumber;100;56;0.4;0;0;13;0;0;0;vitamin a
Cranberry sauce;100;159;0.2;0;5;0.9;40.4;1.1;31.75;vitamin a
Focaccia;100;249;7.9;0;561;8.77;35.82;1.8;1.75;vitamin k
Vitasoy USA;100;54;1.7;0;34;8.3;1.3;0.6;0.2;vitamin a
Peanut butter with omega-3;100;608;54;0;356;24.47;17;6.1;3.11;vitamin e
Frybread;100;309;10;4;671;8.38;46.01;1.7;1.54;vitamin e
Parmesan cheese topping;100;370;5;20;1150;40;40;0;1.5;vitamin a
T.G.I. FRIDAY'S;100;333;19;43;738;15.82;25.33;2.2;1.45;vitamin a
Bear;100;155;8.3;0;0;20.1;0;0;0;vitamin a
Potato puffs;100;192;9.1;0;463;2.13;27.29;2;0.27;vitamin a
NABISCO;100;424;10;0;659;6.99;76.2;3.4;23;vitamin b6
CARRABBA'S ITALIAN GRILL;100;191;11;31;524;10.48;12.36;1.3;2.77;vitamin a
Caribou;100;326;31;0;0;10.8;0;0;0;vitamin a
Alcoholic beverage;100;50;0;0;626;0.5;6.3;0;1.55;vitamin b6
Frostings;100;371;0;0;234;2.3;94.9;0;0;vitamin b12
Mouse nuts;100;81;0.1;0;0;3.9;16.1;0;0;vitamin c
Buckwheat groats;100;92;0.6;0;4;3.38;19.94;2.7;0.9;vitamin k
Refried beans;100;83;0.9;0;430;5.28;13.5;4.7;0.59;vitamin b6
Kielbasa;100;333;29;73;1046;12.36;4.78;0;2.38;vitamin a
Yardlong beans;100;347;1.3;0;17;24.33;61.91;11;0;vitamin a
Mush;100;54;0.5;0;8;0.66;11.74;1.1;0.19;vitamin b6
Gelatins;100;335;0.1;0;196;85.6;0;0;0;vitamin b6
Winged beans;100;49;0.9;0;4;6.95;4.31;0;0;vitamin a
Cranberry juice cocktail;100;54;0.1;0;2;0;13.52;0;11.87;vitamin c
Dressing;100;169;1.5;1;1004;1.07;38.43;1.2;17.75;vitamin a
Pie crust;100;518;31;0;753;6.9;52.1;0;0;vitamin b6
SILK Banana-Strawberry soy yogurt;100;88;1.2;0;15;2.35;17.06;0.6;10.59;vitamin c
Whipped topping;100;224;13;2;72;3;23.6;0;23.6;vitamin a
Vitasoy USA Azumaya;100;43;2.4;0;0;4.82;0.58;0.2;0.2;vitamin a
Ice cream;100;222;13;91;61;4.1;22.2;0.7;21.16;vitamin a
Moose;100;103;1.5;54;65;22.3;0;0;0;vitamin c
Bread crumbs;100;395;5.3;0;732;13.35;71.98;4.5;6.2;vitamin k
Oven-roasted chicken breast roll;100;134;7.7;39;883;14.59;1.79;0;0.43;vitamin k
WEND'YS;100;278;14;0;0;11.72;26.36;0;3.13;vitamin a
Mutton;100;234;11;109;135;33.43;0.08;0;0;vitamin b12
Cheesecake commercially prepared;100;321;23;55;438;5.5;25.5;0.4;21.8;vitamin a
Vegetable juice cocktail;100;22;0.3;0;169;0.93;3.87;0.5;2.84;vitamin a
Coriander (cilantro) leaves;100;23;0.5;0;46;2.13;3.67;2.8;0.87;vitamin a
Mashu roots;100;135;2.4;0;0;5.8;22.6;0;0;vitamin a
Succotash;100;99;1;0;4;5.03;19.59;3.8;0;vitamin a
Pepperoni;100;504;46;97;1582;19.25;1.18;0;0;vitamin d
Frozen novelties;100;128;0;0;22;0.4;32.6;0;32.6;vitamin c
Cheese spread;100;295;29;90;436;7.1;3.5;0;3.5;vitamin a
Salsify;100;82;0.2;0;20;3.3;18.6;3.3;0;vitamin c
Passion-fruit juice;100;60;0.2;0;6;0.67;14.45;0.2;14.25;vitamin a
Cheese food;100;331;24;64;966;19.66;8.32;0;0;vitamin a
Soymilk;100;63;1.5;0;53;2.26;9.95;0.4;7.86;vitamin a
Chicken patty;100;292;20;45;518;14.33;13.61;1.2;0;vitamin a
Liver sausage;100;326;29;158;860;14.1;2.2;0;0;vitamin a
Lima beans;100;113;0.9;0;8;6.84;20.17;4.9;1.48;vitamin a
Carbonated beverage;100;51;0;0;12;0;13.3;0;13.3;vitamin a
Alcoholic beverages;100;83;0;0;5;0.36;3.8;0;3.8;vitamin b6
Eggs;100;131;5.6;277;162;13.1;7.5;0;7.5;vitamin a
Soymilk (All flavors);100;45;2;0;50;2.94;3.45;0.4;2.53;vitamin a
Broadbeans;100;72;0.6;0;50;5.6;11.7;4.2;0;vitamin a
Pigeonpeas;100;136;1.6;0;5;7.2;23.88;5.1;3;vitamin a
Squab;100;142;7.5;90;51;17.5;0;0;0;vitamin a
Luncheon sausage;100;260;21;64;1182;15.38;1.58;0;0;vitamin b12
Wheat flours;100;361;1.7;0;2;11.98;72.53;2.4;0.31;vitamin a
Cranberry-orange relish;100;178;0.1;0;32;0.3;46.2;0;0;vitamin a
BEAR NAKED;100;443;21;0;133;7.5;61.6;7.1;29.4;vitamin e
Pizza rolls;100;328;10;6;599;8.73;50.72;1.2;3.74;vitamin a
Mungo beans;100;341;1.6;0;38;25.21;58.99;18.3;0;vitamin a
Ravioli;100;77;1.5;3;306;2.48;13.64;1.3;3.72;vitamin a
Cocoa;100;228;14;0;21;19.6;57.9;37;1.75;vitamin k
OLIVE GARDEN;100;184;11;40;450;11.28;10.33;1.6;3.53;vitamin a
Mangosteen;100;73;0.6;0;7;0.41;17.91;1.8;0;vitamin a
Flan;100;348;0;0;432;0;91.6;0;0;vitamin a
Vegetarian meatloaf or patties;100;197;9;0;550;21;8;4.6;1.2;vitamin b6
Oat flour;100;404;9.1;0;19;14.66;65.7;6.5;0.8;vitamin k
Pitanga;100;33;0.4;0;3;0.8;7.49;0;0;vitamin a
Topping;100;609;44;2;29;2.94;50.07;2.9;47.06;vitamin a
SILK Plus Omega-3 DHA;100;45;2.1;0;49;2.88;3.29;0.4;2.47;vitamin a
Pickle and pimiento loaf;100;225;16;58;1040;11.23;8.46;1.5;8.46;vitamin a
Chili;100;118;7.1;21;411;7.53;6.1;0.5;1.1;vitamin a
Game meat ;100;223;16;70;66;18.67;0;0;0;vitamin b12
Tomato products;100;24;0.3;0;474;1.2;5.31;1.5;3.56;vitamin a
HOUSE FOODS Premium Soft Tofu;100;59;2.7;0;34;6.38;2.19;0.8;0.53;vitamin a
Mung beans;100;347;1.2;0;15;23.86;62.62;16.3;6.6;vitamin a
Sugar-apples;100;94;0.3;0;9;2.06;23.64;4.4;0;vitamin c
Potato soup;100;343;3.1;12;2400;9.2;76.14;7.6;10;vitamin a
Pokeberry shoots;100;23;0.4;0;23;2.6;3.7;1.7;0;vitamin a
BARBARA DEE;100;515;26;0;290;3.9;67.1;2;35.8;vitamin a
Peas and carrots;100;53;0.5;0;79;3.4;11.15;3.4;0;vitamin a
Squirrel;100;111;3.8;0;0;19.3;0;0;0;vitamin a
"PIZZA HUT 14"" Pepperoni Pizza";100;291;13;23;676;11.47;31.79;2;1.95;vitamin k
Pasta with tomato sauce;100;70;0.4;1;272;2.22;14.22;0.9;4;vitamin a
Lasagna with meat & sauce;100;124;4.4;14;347;6.63;14.39;1.4;2.96;vitamin a
Cowpeas (blackeyes);100;90;0.4;0;4;2.95;18.83;5;3;vitamin a
Egg rolls;100;197;4.5;14;478;10.44;28.54;2.4;5.57;vitamin a
Spaghetti with meat sauce;100;90;1;6;238;5.05;15.24;1.8;2.6;vitamin a
"PAPA JOHN'S 14"" Cheese Pizza";100;295;16;28;528;12.29;26.26;2.3;3.85;vitamin a
Yachtwurst;100;268;23;64;936;14.8;1.4;0;0;vitamin a
WORTHINGTON Leanies;100;251;17;3;1078;19.5;6.1;3.8;1.2;vitamin b12
Turkey sticks;100;279;17;64;838;14.2;17;0;0;vitamin a
Potato chips;100;487;21;0;8;7.1;67.8;6.1;0.22;vitamin c
Sea lion;100;120;1.9;64;62;25.85;0;0;0;vitamin d
LOMA LINDA Linketts;100;209;12;0;401;21.3;4.4;3;0.3;vitamin b12
WORTHINGTON FriPats;100;209;9.1;2;517;23.7;8;2.8;1.4;vitamin b12
Owl;100;136;5;0;0;22.7;0;0;0;vitamin a
Cheesefurter;100;328;29;68;1082;14.1;1.51;0;1.51;vitamin a
HEALTHY REQUEST;100;73;1.2;0;331;1.61;13.71;0.8;8.06;vitamin a
Butter replacement;100;373;1;2;1200;2;89;0;5.3;vitamin a
JACKSON'S;100;453;15;11;390;5;74;1.1;33.9;vitamin b6
SCHAR;100;239;2.7;0;593;3.34;50.47;5.1;6.87;vitamin b6
Formulated Bar;100;412;15;3;436;30.34;38.4;7.3;15.17;vitamin a
PIZZA HUT;100;343;13;7;539;12.2;44.48;2.4;1.11;vitamin b6
Popcorn;100;381;1.4;0;286;2;90.06;2.5;64.68;vitamin a
"PIZZA HUT 14"" Sausage Pizza";100;287;14;23;596;11.08;29.56;2;1.82;vitamin c
Tomato and vegetable juice;100;22;0.1;0;58;0.6;4.59;0.8;3.28;vitamin a
Tortillas;100;218;2.9;0;45;5.7;44.64;6.3;0.88;vitamin a
Toaster pastries;100;370;8;0;361;4.06;72.64;2.3;27.24;vitamin e
Biscuits;100;428;15;2;1276;8;63.4;2.1;11.65;vitamin k
Cream puff shell;100;360;26;171;483;9;22.8;0.8;0.25;vitamin a
Braunschweiger (a liver sausage);100;327;29;180;977;14.5;3.1;0;0;vitamin a
Chilchen (Red Berry Beverage) (Navajo);100;44;0.6;0;15;0.81;8.68;0;2.6;vitamin b6
ANDREA'S;100;257;8.2;0;544;5.65;40.24;2.9;2.98;vitamin e
Sauerkraut;100;19;0.1;0;661;0.91;4.28;2.9;1.78;vitamin a
Strawberry-flavor beverage mix;100;389;0.2;0;38;0.1;99.1;0;95.45;vitamin c
Sweeteners;100;279;0;0;2;0;76.1;0.1;76;vitamin a
Sourdock;100;42;0.7;0;0;2.3;6.5;0;0;vitamin a
Sweet Potato puffs;100;161;3.6;0;250;1.36;30.72;1.9;7.65;vitamin a
AUSTIN;100;484;22;0;582;7.6;65.7;2;16.7;vitamin a
Keikitos (muffins);100;467;25;0;0;6.81;53.16;1.2;25.81;vitamin a
Willow;100;592;61;0;0;2.6;8.1;0;0;vitamin a
WORTHINGTON Chili;100;126;4.5;0;453;10.4;10.9;3.4;1.3;vitamin b12
Vitasoy USA Organic Nasoya;100;70;3.5;0;0;8.76;0.74;0.6;0.3;vitamin a
