name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Yautia (tannier);100;98;0.4;0;21;1.46;23.63;1.5;0;vitamin a
Cucumber;100;12;0.2;0;2;0.59;2.16;0.7;1.38;vitamin a
Dandelion greens;100;45;0.7;0;76;2.7;9.2;3.5;0.71;vitamin a
Melons;100;36;0.1;0;18;0.54;9.09;0.8;8.12;vitamin a
Potato salad with egg;100;157;9.4;17;329;1.96;16.18;1.3;4.95;vitamin a
Oranges;100;46;0.2;0;0;0.7;11.54;2.4;9.14;vitamin a
SILK Vanilla;100;41;1.4;0;39;2.47;4.12;0.4;2.88;vitamin a
Papaya nectar;100;57;0.2;0;5;0.17;14.51;0.6;13.91;vitamin a
Fiddlehead ferns;100;34;0.4;0;1;4.55;5.54;0;0;vitamin a
SILK Peach soy yogurt;100;94;1.2;0;15;2.35;18.82;0.6;14.71;vitamin c
SILK Plain soy yogurt;100;66;1.8;0;13;2.64;9.69;0.4;5.29;vitamin d
Yeast extract spread;100;185;0.9;0;3380;23.88;20.42;6.5;1.6;vitamin b12
Mollusks;100;90;1.4;50;70;16.1;2;0;0;vitamin a
Sour cream;100;74;0;9;141;3.1;15.6;0;0.39;vitamin a
Ham;100;239;19;49;1280;16.06;0.26;0;0;vitamin d
Carrot juice;100;40;0.2;0;66;0.95;9.28;0.8;3.91;vitamin a
Corn;100;386;5.2;0;13;9.88;74.93;0;5.38;vitamin k
Pate;100;327;29;105;807;11.2;6.3;0;0;vitamin a
Fruit butters;100;173;0.3;0;15;0.39;42.47;1.5;35.3;vitamin a
Fast foods;100;153;9.9;4;203;0.95;14.89;1.9;12.19;vitamin a
Pickle relish;100;130;0.5;0;811;0.37;35.06;1.1;29.13;vitamin a
Chives;100;311;3.5;0;70;21.2;64.29;26.2;0;vitamin a
Butter;100;717;81;215;11;0.85;0.06;0;0.06;vitamin a
Rice noodles;100;108;0.2;0;19;1.79;24.01;1;0.03;vitamin e
Barley flour or meal;100;345;1.6;0;4;10.5;74.52;10.1;0.8;vitamin k
Sesbania flower;100;27;0;0;15;1.28;6.73;0;0;vitamin c
Garlic bread;100;350;17;0;544;8.36;41.72;2.5;3.69;vitamin a
KFC;100;351;22;40;1140;17.67;21.18;1;0;vitamin k
APPLEBEE'S;100;120;7.1;2;178;0.79;13.17;2.8;9.33;vitamin a
Rolls;100;321;7.4;55;253;10.04;53.58;3.1;15.38;vitamin a
Cherries;100;63;0.2;0;0;1.06;16.01;2.1;12.82;vitamin a
SILK Coffee;100;62;1.4;0;41;2.06;10.29;0;9.47;vitamin a
Peaches;100;39;0.3;0;0;0.91;9.54;1.5;8.39;vitamin a
Toppings;100;254;0.1;0;21;0.2;66.3;0.7;27.38;vitamin a
Seaweed;100;45;0.6;0;872;3.03;9.14;0.5;0.65;vitamin a
Amaranth leaves;100;23;0.3;0;20;2.46;4.02;0;0;vitamin a
Barley;100;352;1.2;0;9;9.91;77.72;15.6;0.8;vitamin a
Polish sausage;100;326;29;70;876;14.1;1.63;0;0;vitamin c
Bacon bits;100;476;26;0;1770;32;28.6;10.2;0;vitamin e
Semolina;100;360;1.1;0;1;12.68;72.83;3.9;0;vitamin b6
Grape leaves;100;69;2;0;2853;4.27;11.71;9.9;0;vitamin a
Pumpkin flowers;100;15;0.1;0;5;1.03;3.28;0;0;vitamin a
Celery flakes;100;319;2.1;0;1435;11.3;63.7;27.8;35.9;vitamin a
Loganberries;100;55;0.3;0;1;1.52;13.02;5.3;7.7;vitamin a
Tangerine juice;100;43;0.2;0;1;0.5;10.1;0.2;9.9;vitamin a
Soybeans;100;147;6.8;0;15;12.95;11.05;4.2;0;vitamin a
Soybean;100;151;8.1;0;20;12.5;6.9;0;1.6;vitamin a
Tostada shells;100;474;23;0;657;6.15;64.43;5.8;0;vitamin b6
Taro;100;44;1;0;50;2.79;6.91;0;0;vitamin a
Chicory greens;100;23;0.3;0;45;1.7;4.7;4;0.7;vitamin a
Hearts of palm;100;115;0.2;0;14;2.7;25.61;1.5;17.16;vitamin a
Chayote;100;19;0.1;0;2;0.82;4.51;1.7;1.66;vitamin c
Soy protein isolate;100;335;3.4;0;1005;88.32;0;0;0;vitamin b6
Syrups;100;283;0.2;0;62;0;76.79;0;76.77;vitamin a
Mother's loaf;100;282;22;45;1127;12.07;7.53;0;0;vitamin d
Tapioca;100;358;0;0;1;0.19;88.69;0.9;3.35;vitamin b6
Guavas;100;68;1;0;2;2.55;14.32;5.4;8.92;vitamin a
Meatballs;100;197;9;0;550;21;8;4.6;1.25;vitamin e
Mustard greens;100;27;0.4;0;20;2.86;4.67;3.2;1.32;vitamin a
Sweet rolls;100;360;18;76;357;7.1;43.7;1.2;0;vitamin a
Bread sticks;100;412;9.5;0;713;12;68.4;3;1.26;vitamin k
SILK Mocha;100;58;1.4;0;41;2.06;9.05;0;7.41;vitamin a
